北京品冠天成科技有限公司,样本通ivymobi,2017.6.14,Pre-A轮,1200万人民币,企业服务销售营销,50-100人,北京朝阳区,丁宝生联合创始人丁琛联合创始人,
北京超力嗨体育发展有限公司,斗腕,2017.6.14,天使轮,数百万人民币,体育运动赛事运营及经纪,不明确,北京怀柔区,殷乐CEO兼总经理,
广州向川宜动漫科技有限公司,支付侠,2017.6.14,战略投资,1000万人民币,金融支付,50-100人,广东广州,向川宜创始人,
杭州慧川智能科技有限公司,智影,2017.6.14,A轮,数千万人民币,文化娱乐视频,不明确,浙江杭州,康洪文CEO兼总经理,
暂未收录,选旅行,2017.6.14,天使轮,600万人民币,旅游跨境游,不明确,上海浦东新区,,
苏州智慧家长教育科技有限公司,家长慕课,2017.6.14,天使轮,200万人民币,教育其他教育,不明确,江苏苏州,金德江CEO,
生命奇点(北京)科技有限公司,生命奇点,2017.6.14,A轮,5000万人民币,医疗健康医疗信息化,50-100人,北京海淀区,刘立宇CEO,http://www.genelife.com
车好多旧机动车经纪（北京）有限公司,瓜子二手车直卖网,2017.6.15,B轮,4亿美元,汽车交通二手车,50-100人,北京海淀区,杨浩涌CEO,http://www.guazi.com
上海小寻科技有限公司,小寻科技(米兔儿童电话手表),2017.6.15,A轮,1000万美元,硬件可穿戴设备,100-150人,上海徐汇区,杜军红董事长相学雁联合创始人,http://weibo.com/xiaoxunkj
北京有路前行科技发展有限公司,有路网,2017.6.15,A+轮,5000万人民币,房产服务房产电商,30-50人,北京朝阳区,王晓丹创始人,
江苏乐博投资有限公司,车置宝,2017.6.15,C+轮,5亿人民币,汽车交通二手车,50-100人,江苏南京,黄乐CEO张炜CTO,
成都文武信息技术有限公司,鸿鹄数据库,2017.6.15,天使轮,300万人民币,企业服务数据服务,不明确,四川成都,朱贤文董事长兼总经理,
福建大圣出行科技有限公司,大圣出行,2017.6.15,天使轮,1000万人民币,汽车交通其他汽车服务,不明确,福建泉州,李志杰CEO兼总经理,
北京品客互动科技有限公司,集客分享,2017.6.15,天使轮,300万人民币,企业服务销售营销,不明确,北京朝阳区,陈东CEO,
西安嘉百列网络科技有限公司,找辅导,2017.6.15,种子轮,200万人民币,教育K12,15-30人,陕西西安,,http://www.zhaofudao.me
浙江纽若思医疗科技有限公司,纽若思医疗,2017.6.15,战略投资,600万人民币,医疗健康专科服务,不明确,浙江杭州,张铁军董事长兼总经理,
北京言之有物科技有限公司,LOOK言之有物科技,2017.6.15,Pre-A轮,3000万人民币,电子商务服装服饰,50-100人,北京朝阳区,严明CEO,
上海鲲游光电科技有限公司,鲲游光电,2017.6.15,天使轮,数百万人民币,硬件新能源新材料,不明确,上海浦东新区,林涛董事长,
上海翌雪网络科技有限公司,上海翌雪,2017.6.15,Pre-A轮,数百万人民币,游戏游戏开发商,不明确,上海奉贤区,奚海文董事长,
北京论语天下新媒体信息技术有限公司,论语天下,2017.6.15,天使轮,数百万人民币,文化娱乐视频,不明确,北京朝阳区,边长勇董事长,
杭州云哟科技有限责任公司,云哟科技,2017.6.15,天使轮,1000万人民币,企业服务IT基础设施,30-50人,浙江杭州,夏抒CEO,
北京摩拜科技有限公司,摩拜单车,2017.6.16,E轮,6亿美元,汽车交通交通出行,300-500人,北京海淀区,王晓峰CEO胡玮炜总裁李斌董事长,
径卫视觉科技（上海）有限公司,径卫视觉,2017.6.16,A轮,数千万人民币,汽车交通车联网及硬件,50-100人,上海杨浦区,王波董事长,
上海趣医网络科技有限公司,小趣好护士(趣护网络),2017.6.16,A轮,6400万人民币,医疗健康寻医诊疗,100-150人,北京朝阳区,张振华CEO,
暂未收录,可可奇货,2017.6.16,种子轮,数百万人民币,电子商务电商解决方案,不明确,四川成都,,
北京同道伟业体育科技有限公司,同道伟业,2017.6.16,A轮,2400万人民币,体育运动其他体育服务,不明确,北京朝阳区,朴星辰CEO兼总经理,
北京顶象技术有限公司,顶象技术,2017.6.16,A轮,未透露,企业服务企业安全,不明确,北京海淀区,陈树华CEO兼总经理,
深圳市米兔网络科技股份有限公司,米兔网络,2017.6.16,新三板,未透露,游戏游戏开发商,不明确,广东深圳,张荣营董事长兼总经理,
北京小焙科技有限公司,海尔小焙,2017.6.16,A+轮,数千万人民币,硬件智能家居,30-50人,北京石景山区,马钢创业者,
