 货运司机,C1以上货运司机月入万元 ,  招30人 ,上海普陀,上海荣嘉汽车租赁有限公司,租赁服务,1000人以上
 货运司机,德邦货运司机（宝山） ,  招20人 ,上海宝山,上海德邦物流有限公司（德邦物流）,交通/运输/物流,1000人以上
 货运司机,双证危险品驾驶员包食宿 ,  招3人 ,上海宝山大场,上海俊逢电子商务有限公司（俊逢电子商务）,娱乐休闲/餐饮/服务+交通/运输/物流+互联网/电子商务,1-49人
 货运司机,C1以上货运司机月入万元 ,  招20人 ,上海嘉定,上海赤译汽车租赁有限公司,租赁服务,50-99人
 货运司机,包食宿招聘驾驶员 ,  招3人 ,上海青浦徐泾,上海合久成越国际货运代理有限公司,交通/运输/物流,50-99人
 货运司机,招加盟驾驶员货源充足 ,  招20人 ,上海宝山,上海豪滴汽车租赁服务有限公司,租赁服务,100-499人
 货运司机,S高薪诚聘驾驶员包吃住 ,  招7人 ,上海浦东陆家嘴,上海市人才就业招聘服务中心,娱乐休闲/餐饮/服务+交通/运输/物流+汽车/摩托车,1000人以上
 货运司机,6k+急招驾驶员待遇好 ,  招50人 ,上海闵行,上海华鑫油气物流有限公司,交通/运输/物流,100-499人
 货运司机,诚聘货运司机+高收入 ,  招10人 ,上海嘉定嘉定周边,上海轩宝物流有限公司,交通/运输/物流,1-49人
 货运司机,2急招物流驾驶员月薪1万 ,  招10人 ,上海嘉定江桥新城,上海跟车送货搬运工直招中心,娱乐休闲/餐饮/服务+交通/运输/物流+汽车/摩托车,1000人以上
 货运司机,双证危险品驾驶员包食宿 ,  招3人 ,上海宝山大场,上海俊逢电子商务有限公司（俊逢电子商务）,娱乐休闲/餐饮/服务+交通/运输/物流+互联网/电子商务,1-49人
 货运司机,货运车承包 ,  招50人 ,上海宝山水产路,上海荣嘉汽车租赁有限公司,租赁服务,1000人以上
 货运司机,快消品配送诚招货运合作司 ,  招15人 ,上海浦东,上海赤译汽车租赁有限公司,租赁服务,50-99人
 货运司机,急招C1送货驾驶员 ,  招2人 ,上海青浦徐泾,上海合久成越国际货运代理有限公司,交通/运输/物流,50-99人
 货运司机,急招司机 ,  招5人 ,上海宝山,上海本通快递有限公司,交通/运输/物流,50-99人
 货运司机,诚招货运司机收入过万 ,  招20人 ,上海宝山杨行,上海豪滴汽车租赁服务有限公司,租赁服务,100-499人
 货运司机,招C照司机长白班经验不限 ,  招4人 ,上海青浦华新镇,苏州国业达货运代理有限公司,交通/运输/物流,100-499人
 货运司机,司机5千8千包住 ,  招10人 ,上海,上海新邦物流有限公司,交通/运输/物流,1000人以上
 货运司机,德邦货运司机（奉贤） ,  招20人 ,上海奉贤,上海德邦物流有限公司（德邦物流）,交通/运输/物流,1000人以上
 货运司机,招小型货运司机月入过万 ,  招8人 ,上海宝山,上海荣嘉汽车租赁有限公司,租赁服务,500-999人
 货运司机,康桥德邦5到8千招快递员 ,  招5人 ,上海南汇康桥,上海精准德邦物流有限公司（德邦物流）,交通/运输/物流,1000人以上
 货运司机,上海驹马单车配送合作司机 ,  招2人 ,上海青浦徐泾,上海驹马物流有限公司,交通/运输/物流+汽车/摩托车,500-999人
 货运司机,招货运配送司机 ,  招10人 ,上海松江泗泾,上海驹马物流有限公司,交通/运输/物流,1000人以上
 货运司机,司机 ,  招10人 ,上海宝山杨行,上海祁淳企业管理有限公司（铂鹿城配）,交通/运输/物流,100-499人
 货运司机,全新小微面诚招货车司机 ,  招20人 ,上海上海周边,上海荣嘉汽车租赁有限公司,租赁服务,50-99人
 货运司机,急招货运合作驾驶员 ,  招50人 ,上海宝山水产路,上海荣嘉汽车租赁有限公司,租赁服务,1000人以上
 货运司机,招货运司机弹跳上班高收入 ,  招10人 ,上海浦东,上海荣嘉汽车租赁有限公司,租赁服务,500-999人
 货运司机,合作货运司机月入过万 ,  招20人 ,上海宝山杨行,上海豪滴汽车租赁服务有限公司,能源(电力/水利/矿产),1000人以上
 货运司机,金桥德邦5到8千招快递员 ,  招5人 ,上海浦东金桥,上海精准德邦物流有限公司（德邦物流）,交通/运输/物流,1000人以上
 货运司机,快递司机 ,  招5人 ,上海宝山,上海本通快递有限公司,交通/运输/物流,50-99人
 货运司机,直招C1货运司机加盟合作 ,  招5人 ,上海松江泗泾,上海驹马物流有限公司,交通/运输/物流,1000人以上
 货运司机,招C1以上驾驶员收入过万 ,  招20人 ,上海宝山杨行,上海豪滴汽车租赁服务有限公司,能源(电力/水利/矿产),1000人以上
 货运司机,浦东德邦5到8千招快递员 ,  招5人 ,上海浦东世纪公园,上海精准德邦物流有限公司（德邦物流）,交通/运输/物流,1000人以上
 货运司机,诚招C1以上合作司机 ,  招25人 ,上海宝山杨行,上海豪滴汽车租赁服务有限公司,租赁服务,100-499人
 货运司机,司机 ,  招10人 ,上海宝山杨行,上海祁淳企业管理有限公司（铂鹿城配）,交通/运输/物流,100-499人
 货运司机,圆通快递包吃住急招司机 ,  招10人 ,上海静安,上海赞通快递有限公司,交通/运输/物流,50-99人
 货运司机,司机5千到8千 ,  招10人 ,上海青浦重固,上海新邦物流有限公司,交通/运输/物流,1000人以上
 货运司机,双证危险品驾驶员包食宿 ,  招3人 ,上海宝山大场,上海俊逢电子商务有限公司（俊逢电子商务）,娱乐休闲/餐饮/服务+交通/运输/物流+互联网/电子商务,1-49人
 货运司机,诚聘货运司机（合伙人） ,  招10人 ,上海嘉定嘉定周边,上海轩宝物流有限公司,交通/运输/物流,1-49人
 货运司机,新邦高薪聘请司机 ,  招10人 ,上海,上海新邦物流有限公司,交通/运输/物流,1000人以上
 货运司机,C1货车司机 ,  招50人 ,上海宝山,上海豪滴汽车租赁服务有限公司,租赁服务,100-499人
 货运司机,招合作司机公司提供业务 ,  招20人 ,上海普陀,上海豪滴汽车租赁服务有限公司,租赁服务,100-499人
 货运司机,急招普货驾驶员 ,  招3人 ,上海宝山大场,上海俊逢电子商务有限公司（俊逢电子商务）,娱乐休闲/餐饮/服务+交通/运输/物流+互联网/电子商务,1-49人
 货运司机,招货运司机一天收入8百 ,  招10人 ,上海嘉定,上海荣嘉汽车租赁有限公司,租赁服务,500-999人
 货运司机,上海驹马招家电承包司机 ,  招3人 ,上海青浦徐泾,上海驹马物流有限公司,交通/运输/物流+汽车/摩托车,500-999人
 货运司机,C1司机收入高点对点配送 ,  招2人 ,上海松江泗泾,上海驹马物流有限公司,交通/运输/物流,1000人以上
 货运司机,新能源专用型城市货运司机 ,  招20人 ,上海宝山杨行,上海祁淳企业管理有限公司（铂鹿城配）,交通/运输/物流,100-499人
